p,pos,u,sim,target_fdr,method,empirical_fdr,power,n_selected
200,100,0.5,1,0.05,DeepLINK,0.5,0.5333333333333333,32
200,100,0.5,2,0.05,DeepLINK,0.2777777777777778,0.4333333333333333,18
200,100,0.5,3,0.05,DeepLINK,0.2941176470588235,0.4,17
200,100,0.5,4,0.05,DeepLINK,0.3684210526315789,0.4,19
200,100,0.5,5,0.05,DeepLINK,0.375,0.5,24
200,100,0.5,6,0.05,DeepLINK,0.28,0.6,25
200,100,0.5,7,0.05,DeepLINK,0.4210526315789473,0.3666666666666666,19
200,100,0.5,8,0.05,DeepLINK,0.0,0.3333333333333333,10
200,100,0.5,9,0.05,DeepLINK,0.3529411764705882,0.3666666666666666,17
200,100,0.5,10,0.05,DeepLINK,0.5454545454545454,0.3333333333333333,22
200,100,0.5,11,0.05,DeepLINK,0.2,0.4,15
200,100,0.5,12,0.05,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,13,0.05,DeepLINK,0.391304347826087,0.4666666666666667,23
200,100,0.5,14,0.05,DeepLINK,0.1818181818181818,0.3,11
200,100,0.5,15,0.05,DeepLINK,0.0,0.2,6
200,100,0.5,16,0.05,DeepLINK,0.3125,0.3666666666666666,16
200,100,0.5,17,0.05,DeepLINK,0.0,0.3666666666666666,11
200,100,0.5,18,0.05,DeepLINK,0.2142857142857142,0.3666666666666666,14
200,100,0.5,19,0.05,DeepLINK,0.5217391304347826,0.3666666666666666,23
200,100,0.5,20,0.05,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,21,0.05,DeepLINK,0.3571428571428571,0.3,14
200,100,0.5,22,0.05,DeepLINK,0.4411764705882353,0.6333333333333333,34
200,100,0.5,23,0.05,DeepLINK,0.4333333333333333,0.5666666666666667,30
200,100,0.5,24,0.05,DeepLINK,0.375,0.5,24
200,100,0.5,25,0.05,DeepLINK,0.4782608695652174,0.4,23
200,100,0.5,26,0.05,DeepLINK,0.1,0.3,10
200,100,0.5,27,0.05,DeepLINK,0.3793103448275862,0.6,29
200,100,0.5,28,0.05,DeepLINK,0.3571428571428571,0.3,14
200,100,0.5,29,0.05,DeepLINK,0.5,0.4666666666666667,28
200,100,0.5,30,0.05,DeepLINK,0.4848484848484848,0.5666666666666667,33
200,100,0.5,31,0.05,DeepLINK,0.3333333333333333,0.3333333333333333,15
200,100,0.5,32,0.05,DeepLINK,0.0714285714285714,0.4333333333333333,14
200,100,0.5,33,0.05,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,34,0.05,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,35,0.05,DeepLINK,0.2352941176470588,0.4333333333333333,17
200,100,0.5,36,0.05,DeepLINK,0.2857142857142857,0.5,21
200,100,0.5,37,0.05,DeepLINK,0.35,0.4333333333333333,20
200,100,0.5,38,0.05,DeepLINK,0.4285714285714285,0.5333333333333333,28
200,100,0.5,39,0.05,DeepLINK,0.4074074074074074,0.5333333333333333,27
200,100,0.5,40,0.05,DeepLINK,0.4642857142857143,0.5,28
200,100,0.5,41,0.05,DeepLINK,0.3809523809523809,0.4333333333333333,21
200,100,0.5,42,0.05,DeepLINK,0.0909090909090909,0.3333333333333333,11
200,100,0.5,43,0.05,DeepLINK,0.0,0.3333333333333333,10
200,100,0.5,44,0.05,DeepLINK,0.4375,0.3,16
200,100,0.5,45,0.05,DeepLINK,0.4545454545454545,0.4,22
200,100,0.5,46,0.05,DeepLINK,0.3076923076923077,0.3,13
200,100,0.5,47,0.05,DeepLINK,0.3333333333333333,0.4,18
200,100,0.5,48,0.05,DeepLINK,0.2352941176470588,0.4333333333333333,17
200,100,0.5,49,0.05,DeepLINK,0.1818181818181818,0.3,11
200,100,0.5,50,0.05,DeepLINK,0.1538461538461538,0.3666666666666666,13
200,100,0.5,51,0.05,DeepLINK,0.0909090909090909,0.3333333333333333,11
200,100,0.5,52,0.05,DeepLINK,0.25,0.3,12
200,100,0.5,53,0.05,DeepLINK,0.2142857142857142,0.3666666666666666,14
200,100,0.5,54,0.05,DeepLINK,0.0769230769230769,0.4,13
200,100,0.5,55,0.05,DeepLINK,0.4545454545454545,0.6,33
200,100,0.5,56,0.05,DeepLINK,0.3478260869565217,0.5,23
200,100,0.5,57,0.05,DeepLINK,0.5714285714285714,0.6,42
200,100,0.5,58,0.05,DeepLINK,0.0,0.4333333333333333,13
200,100,0.5,59,0.05,DeepLINK,0.375,0.5,24
200,100,0.5,60,0.05,DeepLINK,0.4827586206896552,0.5,29
200,100,0.5,61,0.05,DeepLINK,0.375,0.6666666666666666,32
200,100,0.5,62,0.05,DeepLINK,0.32,0.5666666666666667,25
200,100,0.5,63,0.05,DeepLINK,0.1818181818181818,0.3,11
200,100,0.5,64,0.05,DeepLINK,0.4,0.4,20
200,100,0.5,65,0.05,DeepLINK,0.2307692307692307,0.3333333333333333,13
200,100,0.5,66,0.05,DeepLINK,0.3333333333333333,0.2666666666666666,12
200,100,0.5,67,0.05,DeepLINK,0.25,0.3,12
200,100,0.5,68,0.05,DeepLINK,0.0,0.3,9
200,100,0.5,69,0.05,DeepLINK,0.3157894736842105,0.4333333333333333,19
200,100,0.5,70,0.05,DeepLINK,0.4230769230769231,0.5,26
200,100,0.5,71,0.05,DeepLINK,0.4285714285714285,0.4,21
200,100,0.5,72,0.05,DeepLINK,0.3928571428571428,0.5666666666666667,28
200,100,0.5,73,0.05,DeepLINK,0.0,0.2,6
200,100,0.5,74,0.05,DeepLINK,0.25,0.4,16
200,100,0.5,75,0.05,DeepLINK,0.2,0.2666666666666666,10
200,100,0.5,76,0.05,DeepLINK,0.25,0.3,12
200,100,0.5,77,0.05,DeepLINK,0.3333333333333333,0.3333333333333333,15
200,100,0.5,78,0.05,DeepLINK,0.125,0.2333333333333333,8
200,100,0.5,79,0.05,DeepLINK,0.3809523809523809,0.4333333333333333,21
200,100,0.5,80,0.05,DeepLINK,0.1,0.3,10
200,100,0.5,81,0.05,DeepLINK,0.2307692307692307,0.3333333333333333,13
200,100,0.5,82,0.05,DeepLINK,0.5217391304347826,0.3666666666666666,23
200,100,0.5,83,0.05,DeepLINK,0.4285714285714285,0.2666666666666666,14
200,100,0.5,84,0.05,DeepLINK,0.32,0.5666666666666667,25
200,100,0.5,85,0.05,DeepLINK,0.2142857142857142,0.3666666666666666,14
200,100,0.5,86,0.05,DeepLINK,0.2142857142857142,0.3666666666666666,14
200,100,0.5,87,0.05,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,88,0.05,DeepLINK,0.4545454545454545,0.4,22
200,100,0.5,89,0.05,DeepLINK,0.2,0.4,15
200,100,0.5,90,0.05,DeepLINK,0.5227272727272727,0.7,44
200,100,0.5,91,0.05,DeepLINK,0.375,0.5,24
200,100,0.5,92,0.05,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,93,0.05,DeepLINK,0.4230769230769231,0.5,26
200,100,0.5,94,0.05,DeepLINK,0.25,0.4,16
200,100,0.5,95,0.05,DeepLINK,0.1,0.3,10
200,100,0.5,96,0.05,DeepLINK,0.2222222222222222,0.4666666666666667,18
200,100,0.5,97,0.05,DeepLINK,0.1875,0.4333333333333333,16
200,100,0.5,98,0.05,DeepLINK,0.1333333333333333,0.4333333333333333,15
200,100,0.5,99,0.05,DeepLINK,0.3809523809523809,0.4333333333333333,21
200,100,0.5,100,0.05,DeepLINK,0.2857142857142857,0.5,21
200,100,0.5,1,0.1,DeepLINK,0.5454545454545454,0.5,33
200,100,0.5,2,0.1,DeepLINK,0.40625,0.6333333333333333,32
200,100,0.5,3,0.1,DeepLINK,0.2,0.4,15
200,100,0.5,4,0.1,DeepLINK,0.1,0.3,10
200,100,0.5,5,0.1,DeepLINK,0.3,0.4666666666666667,20
200,100,0.5,6,0.1,DeepLINK,0.238095238095238,0.5333333333333333,21
200,100,0.5,7,0.1,DeepLINK,0.4642857142857143,0.5,28
200,100,0.5,8,0.1,DeepLINK,0.575,0.5666666666666667,40
200,100,0.5,9,0.1,DeepLINK,0.53125,0.5,32
200,100,0.5,10,0.1,DeepLINK,0.525,0.6333333333333333,40
200,100,0.5,11,0.1,DeepLINK,0.0714285714285714,0.4333333333333333,14
200,100,0.5,12,0.1,DeepLINK,0.3636363636363636,0.4666666666666667,22
200,100,0.5,13,0.1,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,14,0.1,DeepLINK,0.3333333333333333,0.4666666666666667,21
200,100,0.5,15,0.1,DeepLINK,0.1666666666666666,0.3333333333333333,12
200,100,0.5,16,0.1,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,17,0.1,DeepLINK,0.125,0.4666666666666667,16
200,100,0.5,18,0.1,DeepLINK,0.375,0.5,24
200,100,0.5,19,0.1,DeepLINK,0.4347826086956521,0.4333333333333333,23
200,100,0.5,20,0.1,DeepLINK,0.5714285714285714,0.4,28
200,100,0.5,21,0.1,DeepLINK,0.3333333333333333,0.5333333333333333,24
200,100,0.5,22,0.1,DeepLINK,0.3571428571428571,0.6,28
200,100,0.5,23,0.1,DeepLINK,0.5454545454545454,0.5,33
200,100,0.5,24,0.1,DeepLINK,0.4857142857142857,0.6,35
200,100,0.5,25,0.1,DeepLINK,0.6190476190476191,0.5333333333333333,42
200,100,0.5,26,0.1,DeepLINK,0.3,0.4666666666666667,20
