"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"1",200,100,0,1,0.05,"LDA-KF",0.382352941176471,0.7,34
"2",200,100,0,2,0.05,"LDA-KF",0.142857142857143,0.6,21
"3",200,100,0,3,0.05,"LDA-KF",0.285714285714286,0.5,21
"4",200,100,0,4,0.05,"LDA-KF",0,0,0
"5",200,100,0,5,0.05,"LDA-KF",0,0,0
"6",200,100,0,6,0.05,"LDA-KF",0,0,0
"7",200,100,0,7,0.05,"LDA-KF",0.552631578947368,0.566666666666667,38
"8",200,100,0,8,0.05,"LDA-KF",0.19047619047619,0.566666666666667,21
"9",200,100,0,9,0.05,"LDA-KF",0.238095238095238,0.533333333333333,21
"10",200,100,0,10,0.05,"LDA-KF",0,0,0
"11",200,100,0,11,0.05,"LDA-KF",0,0,0
"12",200,100,0,12,0.05,"LDA-KF",0.260869565217391,0.566666666666667,23
"13",200,100,0,13,0.05,"LDA-KF",0.65625,0.366666666666667,32
"14",200,100,0,14,0.05,"LDA-KF",0,0,0
"15",200,100,0,15,0.05,"LDA-KF",0.142857142857143,0.6,21
"16",200,100,0,16,0.05,"LDA-KF",0,0.666666666666667,20
"17",200,100,0,17,0.05,"LDA-KF",0,0,0
"18",200,100,0,18,0.05,"LDA-KF",0,0,0
"19",200,100,0,19,0.05,"LDA-KF",0.181818181818182,0.6,22
"20",200,100,0,20,0.05,"LDA-KF",0,0,0
"21",200,100,0,21,0.05,"LDA-KF",0,0,0
"22",200,100,0,22,0.05,"LDA-KF",0,0,0
"23",200,100,0,23,0.05,"LDA-KF",0.208333333333333,0.633333333333333,24
"24",200,100,0,24,0.05,"LDA-KF",0.19047619047619,0.566666666666667,21
"25",200,100,0,25,0.05,"LDA-KF",0,0,0
"26",200,100,0,26,0.05,"LDA-KF",0.238095238095238,0.533333333333333,21
"27",200,100,0,27,0.05,"LDA-KF",0,0,0
"28",200,100,0,28,0.05,"LDA-KF",0,0,0
"29",200,100,0,29,0.05,"LDA-KF",0,0,0
"30",200,100,0,30,0.05,"LDA-KF",0,0,0
"31",200,100,0,31,0.05,"LDA-KF",0.0952380952380952,0.633333333333333,21
"32",200,100,0,32,0.05,"LDA-KF",0.40625,0.633333333333333,32
"33",200,100,0,33,0.05,"LDA-KF",0,0,0
"34",200,100,0,34,0.05,"LDA-KF",0,0,0
"35",200,100,0,35,0.05,"LDA-KF",0,0,0
"36",200,100,0,36,0.05,"LDA-KF",0.357142857142857,0.6,28
"37",200,100,0,37,0.05,"LDA-KF",0,0,0
"38",200,100,0,38,0.05,"LDA-KF",0.16,0.7,25
"39",200,100,0,39,0.05,"LDA-KF",0.0952380952380952,0.633333333333333,21
"40",200,100,0,40,0.05,"LDA-KF",0,0,0
"41",200,100,0,41,0.05,"LDA-KF",0,0,0
"42",200,100,0,42,0.05,"LDA-KF",0,0,0
"43",200,100,0,43,0.05,"LDA-KF",0.675,0.433333333333333,40
"44",200,100,0,44,0.05,"LDA-KF",0.19047619047619,0.566666666666667,21
"45",200,100,0,45,0.05,"LDA-KF",0,0,0
"46",200,100,0,46,0.05,"LDA-KF",0.2,0.533333333333333,20
"47",200,100,0,47,0.05,"LDA-KF",0,0,0
"48",200,100,0,48,0.05,"LDA-KF",0.136363636363636,0.633333333333333,22
"49",200,100,0,49,0.05,"LDA-KF",0.2,0.533333333333333,20
"50",200,100,0,50,0.05,"LDA-KF",0.05,0.633333333333333,20
"51",200,100,0,51,0.05,"LDA-KF",0.125,0.7,24
"52",200,100,0,52,0.05,"LDA-KF",0,0,0
"53",200,100,0,53,0.05,"LDA-KF",0.34375,0.7,32
"54",200,100,0,54,0.05,"LDA-KF",0,0,0
"55",200,100,0,55,0.05,"LDA-KF",0,0,0
"56",200,100,0,56,0.05,"LDA-KF",0.19047619047619,0.566666666666667,21
"57",200,100,0,57,0.05,"LDA-KF",0,0,0
"58",200,100,0,58,0.05,"LDA-KF",0,0,0
