"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"64801",200,100,0,1,0.05,"Zinck",0,0.433333333333333,13
"64802",200,100,0,2,0.05,"Zinck",0,0.333333333333333,10
"64803",200,100,0,3,0.05,"Zinck",0,0.433333333333333,13
"64804",200,100,0,4,0.05,"Zinck",0.32,0.566666666666667,25
"64805",200,100,0,5,0.05,"Zinck",0,0.366666666666667,11
"64806",200,100,0,6,0.05,"Zinck",0.0869565217391304,0.7,23
"64807",200,100,0,7,0.05,"Zinck",0.0909090909090909,0.333333333333333,11
"64808",200,100,0,8,0.05,"Zinck",0,0.333333333333333,10
"64809",200,100,0,9,0.05,"Zinck",0,0.166666666666667,5
"64810",200,100,0,10,0.05,"Zinck",0.125,0.233333333333333,8
"64811",200,100,0,11,0.05,"Zinck",0.142857142857143,0.6,21
"64812",200,100,0,12,0.05,"Zinck",0.181818181818182,0.6,22
"64813",200,100,0,13,0.05,"Zinck",0.285714285714286,0.333333333333333,14
"64814",200,100,0,14,0.05,"Zinck",0.15,0.566666666666667,20
"64815",200,100,0,15,0.05,"Zinck",0,0.5,15
"64816",200,100,0,16,0.05,"Zinck",0,0.666666666666667,20
"64817",200,100,0,17,0.05,"Zinck",0,0.533333333333333,16
"64818",200,100,0,18,0.05,"Zinck",0.0555555555555556,0.566666666666667,18
"64819",200,100,0,19,0.05,"Zinck",NA,NA,0
"64820",200,100,0,20,0.05,"Zinck",0,0.366666666666667,11
"64821",200,100,0,21,0.05,"Zinck",0.0769230769230769,0.4,13
"64822",200,100,0,22,0.05,"Zinck",0,0.4,12
"64823",200,100,0,23,0.05,"Zinck",0,0.366666666666667,11
"64824",200,100,0,24,0.05,"Zinck",0.1,0.3,10
"64825",200,100,0,25,0.05,"Zinck",0.428571428571429,0.533333333333333,28
"64826",200,100,0,26,0.05,"Zinck",0,0.333333333333333,10
"64827",200,100,0,27,0.05,"Zinck",0,0.4,12
"64828",200,100,0,28,0.05,"Zinck",0.111111111111111,0.533333333333333,18
"64829",200,100,0,29,0.05,"Zinck",0.2,0.4,15
"64830",200,100,0,30,0.05,"Zinck",0.0769230769230769,0.4,13
"64831",200,100,0,31,0.05,"Zinck",0,0.566666666666667,17
"64832",200,100,0,32,0.05,"Zinck",0.52,0.4,25
"64833",200,100,0,33,0.05,"Zinck",0.133333333333333,0.433333333333333,15
"64834",200,100,0,34,0.05,"Zinck",0.0714285714285714,0.433333333333333,14
"64835",200,100,0,35,0.05,"Zinck",0.142857142857143,0.4,14
"64836",200,100,0,36,0.05,"Zinck",0.366666666666667,0.633333333333333,30
"64837",200,100,0,37,0.05,"Zinck",0.0625,0.5,16
"64838",200,100,0,38,0.05,"Zinck",0.0555555555555556,0.566666666666667,18
"64839",200,100,0,39,0.05,"Zinck",0.0952380952380952,0.633333333333333,21
"64840",200,100,0,40,0.05,"Zinck",0.25,0.5,20
"64841",200,100,0,41,0.05,"Zinck",0.0909090909090909,0.333333333333333,11
"64842",200,100,0,42,0.05,"Zinck",0.142857142857143,0.4,14
"64843",200,100,0,43,0.05,"Zinck",0,0.2,6
"64844",200,100,0,44,0.05,"Zinck",0.25,0.5,20
"64845",200,100,0,45,0.05,"Zinck",0,0.533333333333333,16
"64846",200,100,0,46,0.05,"Zinck",0,0.233333333333333,7
"64847",200,100,0,47,0.05,"Zinck",0,0.3,9
"64848",200,100,0,48,0.05,"Zinck",0,0.433333333333333,13
"64849",200,100,0,49,0.05,"Zinck",0.2,0.533333333333333,20
"64850",200,100,0,50,0.05,"Zinck",0,0.566666666666667,17
"64851",200,100,0,51,0.05,"Zinck",0.05,0.633333333333333,20
"64852",200,100,0,52,0.05,"Zinck",0,0.433333333333333,13
"64853",200,100,0,53,0.05,"Zinck",0.176470588235294,0.466666666666667,17
"64854",200,100,0,54,0.05,"Zinck",0.478260869565217,0.4,23
"64855",200,100,0,55,0.05,"Zinck",0.111111111111111,0.266666666666667,9
"64856",200,100,0,56,0.05,"Zinck",0,0.466666666666667,14
"64857",200,100,0,57,0.05,"Zinck",0.125,0.233333333333333,8
"64858",200,100,0,58,0.05,"Zinck",0.0833333333333333,0.366666666666667,12
"64859",200,100,0,59,0.05,"Zinck",0.181818181818182,0.6,22
"64860",200,100,0,60,0.05,"Zinck",0.227272727272727,0.566666666666667,22
"64861",200,100,0,61,0.05,"Zinck",0.3,0.466666666666667,20
"64862",200,100,0,62,0.05,"Zinck",0.133333333333333,0.433333333333333,15
"64863",200,100,0,63,0.05,"Zinck",0.333333333333333,0.533333333333333,24
"64864",200,100,0,64,0.05,"Zinck",0,0.633333333333333,19
"64865",200,100,0,65,0.05,"Zinck",0,0.5,15
"64866",200,100,0,66,0.05,"Zinck",0,0.4,12
"64867",200,100,0,67,0.05,"Zinck",0,0.333333333333333,10
"64868",200,100,0,68,0.05,"Zinck",0.0588235294117647,0.533333333333333,17
"64869",200,100,0,69,0.05,"Zinck",0.0714285714285714,0.433333333333333,14
"64870",200,100,0,70,0.05,"Zinck",0.0833333333333333,0.366666666666667,12
"64871",200,100,0,71,0.05,"Zinck",0,0.366666666666667,11
"64872",200,100,0,72,0.05,"Zinck",0.0526315789473684,0.6,19
"64873",200,100,0,73,0.05,"Zinck",0.25,0.5,20
"64874",200,100,0,74,0.05,"Zinck",0.0666666666666667,0.466666666666667,15
"64875",200,100,0,75,0.05,"Zinck",0.111111111111111,0.533333333333333,18
"64876",200,100,0,76,0.05,"Zinck",0,0.233333333333333,7
"64877",200,100,0,77,0.05,"Zinck",0.217391304347826,0.6,23
"64878",200,100,0,78,0.05,"Zinck",0,0.466666666666667,14
"64879",200,100,0,79,0.05,"Zinck",0.0833333333333333,0.366666666666667,12
"64880",200,100,0,80,0.05,"Zinck",0.0714285714285714,0.433333333333333,14
"64881",200,100,0,81,0.05,"Zinck",0,0.366666666666667,11
"64882",200,100,0,82,0.05,"Zinck",0,0.333333333333333,10
"64883",200,100,0,83,0.05,"Zinck",0.142857142857143,0.4,14
"64884",200,100,0,84,0.05,"Zinck",0.424242424242424,0.633333333333333,33
"64885",200,100,0,85,0.05,"Zinck",0.0769230769230769,0.4,13
"64886",200,100,0,86,0.05,"Zinck",0,0.433333333333333,13
"64887",200,100,0,87,0.05,"Zinck",0.24,0.633333333333333,25
"64888",200,100,0,88,0.05,"Zinck",0,0.366666666666667,11
"64889",200,100,0,89,0.05,"Zinck",0,0.233333333333333,7
"64890",200,100,0,90,0.05,"Zinck",0.0714285714285714,0.433333333333333,14
"64891",200,100,0,91,0.05,"Zinck",0.0833333333333333,0.366666666666667,12
"64892",200,100,0,92,0.05,"Zinck",0.238095238095238,0.533333333333333,21
"64893",200,100,0,93,0.05,"Zinck",0,0.166666666666667,5
"64894",200,100,0,94,0.05,"Zinck",0.0476190476190476,0.666666666666667,21
"64895",200,100,0,95,0.05,"Zinck",0,0.5,15
"64896",200,100,0,96,0.05,"Zinck",0.0625,0.5,16
"64897",200,100,0,97,0.05,"Zinck",0.3,0.466666666666667,20
"64898",200,100,0,98,0.05,"Zinck",0,0.566666666666667,17
"64899",200,100,0,99,0.05,"Zinck",0.0952380952380952,0.633333333333333,21
"64900",200,100,0,100,0.05,"Zinck",0,0.433333333333333,13
"64901",200,100,0,1,0.1,"Zinck",0.111111111111111,0.533333333333333,18
"64902",200,100,0,2,0.1,"Zinck",0,0.333333333333333,10
"64903",200,100,0,3,0.1,"Zinck",0,0.433333333333333,13
